Datacenter,Rack,Elevation,Hostname,Domain,Model,Host Serial Num,Chassis Serial Num,Service Tag,UW,CSL,Morgridge,Notes
CS2360,8S-205,20,e2399,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1M5,,FCH1818V1M5,U911247,,,
CS2360,8S-205,35,e2400,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V2D1,,FCH1819V2D1,U011248,,,
CS2360,8S-205,36,e2401,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V2JC,,FCH1819V2JC,U011249,,,"""Down until network upgrade"" - Joe"
CS2360,8S-205,37,e2402,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V2BH,,FCH1819V2BH,U011250,,,Host not on icinga. Investigate -Ryan
CS2360,8S-205,38,e2403,chtc.wisc.edu,Cisco UCS C220 M3,FCH1820V05L,,FCH1820V05L,U011251,,,Host not on icinga. Investigate -Ryan
CS2360,8S-209,27,e2404,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V035,,FCH1819V035,U011252,,,"""Down until net migration"" - Joe"
CS2360,8S-205,23,e2405,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1RG,,FCH1818V1RG,U011253,,,"""Unplugged for the sake of plugging [in] mem2002"" - Joe"
CS2360,8S-209,28,e2406,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V2C3,,FCH1819V2C3,U011254,,,"""Down until net migration"" - Joe"
CS2360,8S-209,29,e2407,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V2MY,,FCH1819V2MY,U011255,,,"""Down until net migration"" - Joe"
CS2360,8S-209,30,e2408,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V26Q,,FCH1819V26Q,U011256,,,"""Down until net migration"" - Joe"
CS2360,8S-204,31,e2409,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V26N,,FCH1819V26N,U011257,,,
CS2360,8S-204,32,e2410,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V266,,FCH1819V266,U011258,,,
CS2360,8S-204,33,e2411,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V182,,FCH1818V182,U011259,,,
CS2360,8S-204,34,e2412,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V1TB,,FCH1819V1TB,U011260,,,
CS2360,8S-204,35,e2413,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V088,,FCH1819V088,U011261,,,
CS2360,8S-208,4,e2414,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V2AE,,FCH1818V2AE,U011262,,,Not on icinga. Can't SSH.
CS2360,8S-208,3,e2415,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V081,,FCH1819V081,U011263,,,Not on icinga. Can't SSH.
CS2360,8S-204,38,e2420,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V089,,FCH1819V089,U011268,,,
CS2360,8S-204,39,e2421,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V1S7,,FCH1819V1S7,U011269,,,
CS2360,8S-204,37,e2422,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1M0,,FCH1818V1M0,U011270,,,
